siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 22:00",35
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 22:00",9.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 22:00",48
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 22:00",48.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 22:00",0.35
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 22:00",1.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 21:00",32
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 21:00",16.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 21:00",48
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 21:00",38.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 21:00",0.46
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 21:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 20:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 20:00",17.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 20:00",51
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 20:00",40.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 20:00",0.52
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 20:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 19:00",24
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 19:00",15.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 19:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 19:00",51.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 19:00",0.51
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 19:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 18:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 18:00",17
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 18:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 18:00",57.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 18:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 18:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 17:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 17:00",13.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 17:00",46
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 17:00",62.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 17:00",0.42
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 17:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 16:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 16:00",10.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 16:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 16:00",68
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 16:00",0.33
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 16:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 15:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 15:00",7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 15:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 15:00",84.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 15:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 15:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 14:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 14:00",7.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 14:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 14:00",86.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 14:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 14:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 13:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 13:00",8.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 13:00",42
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 13:00",95.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 13:00",0.3
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 13:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 12:00",25
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 12:00",10.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 12:00",46
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 12:00",106.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 12:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 12:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 11:00",28
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 11:00",11.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 11:00",49
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 11:00",95.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 11:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 11:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 10:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 10:00",12.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 10:00",44
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 10:00",71.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 10:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 10:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 09:00",21
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 09:00",15.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 09:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 09:00",48.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 09:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 09:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 08:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 08:00",14.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 08:00",35
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 08:00",31.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 08:00",0.47
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 08:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 07:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 07:00",13.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 07:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 07:00",27.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 07:00",0.56
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 07:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 06:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 06:00",12.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 06:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 06:00",18.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 06:00",0.45
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 06:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 05:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 05:00",7.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 05:00",35
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 05:00",21.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 05:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 05:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 04:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 04:00",5.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 04:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 04:00",30.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 04:00",0.3
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 04:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 03:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 03:00",4.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 03:00",34
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 03:00",32.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 03:00",0.26
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 03:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 02:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 02:00",6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 02:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 02:00",32.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 02:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 02:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 01:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 01:00",8.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 01:00",34
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 01:00",32.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 01:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 01:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 00:00",24
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 00:00",8.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 00:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 00:00",35.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 00:00",0.33
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 00:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 23:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 23:00",11.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 23:00",36
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 23:00",33.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 23:00",0.37
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 23:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 22:00",25
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 22:00",13
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 22:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 22:00",36
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 22:00",0.4
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 22:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 21:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 21:00",17.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 21:00",40
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 21:00",33.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 21:00",0.54
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 21:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 20:00",28
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 20:00",19.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 20:00",41
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 20:00",33.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 20:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 20:00",1.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 19:00",26
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 19:00",18
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 19:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 19:00",45.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 19:00",0.45
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 19:00",3.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 18:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 18:00",14.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 18:00",35
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 18:00",54.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 18:00",0.41
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 18:00",2.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 17:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 17:00",8.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 17:00",30
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 17:00",65
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 17:00",0.31
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 17:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 16:00",14
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 16:00",7.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 16:00",34
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 16:00",73.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 16:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 16:00",1.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 15:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 15:00",6.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 15:00",34
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 15:00",80.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 15:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 15:00",2.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 14:00",31
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 14:00",5.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 14:00",52
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 14:00",87.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 14:00",0.31
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 14:00",2.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 13:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 13:00",4.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 13:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 13:00",81.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 13:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 13:00",2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 12:00",21
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 12:00",4.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 12:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 12:00",71.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 12:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 12:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 11:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 11:00",5.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 11:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 11:00",66.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 11:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 11:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 10:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 10:00",5.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 10:00",27
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 10:00",55.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 10:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 10:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 09:00",13
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 09:00",5.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 09:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 09:00",42.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 09:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 09:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 08:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 08:00",7.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 08:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 08:00",32.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 08:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 08:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 07:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 07:00",9.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 07:00",29
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 07:00",16.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 07:00",0.35
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 07:00",3.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 06:00",6
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 06:00",7.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 06:00",27
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 06:00",16.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 06:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 06:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 05:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 05:00",6.1
