siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 05:00",26
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 05:00",20.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 05:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 05:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 04:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 04:00",5.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 04:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 04:00",20.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 04:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 04:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 03:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 03:00",6.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 03:00",29
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 03:00",21.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 03:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 03:00",0.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 02:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 02:00",10
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 02:00",32
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 02:00",23
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 02:00",0.33
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 02:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 01:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 01:00",13.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 01:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 01:00",14.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 01:00",0.39
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 01:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 00:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 00:00",10.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 00:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 00:00",18.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 00:00",0.37
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 00:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 23:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 23:00",16
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 23:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 23:00",17.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 23:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 23:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 22:00",18
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 22:00",17.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 22:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 22:00",22.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 22:00",0.44
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 22:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 21:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 21:00",21.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 21:00",44
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 21:00",21.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 21:00",0.52
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 21:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 20:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 20:00",16.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 20:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 20:00",37.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 20:00",0.53
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 20:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 19:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 19:00",14.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 19:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 19:00",46.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 19:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 19:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 18:00",10
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 18:00",13.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 18:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 18:00",51.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 18:00",0.38
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 18:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 17:00",9
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 17:00",9.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 17:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 17:00",64.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 17:00",0.35
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 17:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 16:00",13
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 16:00",6.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 16:00",24
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 16:00",70.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 16:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 16:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 15:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 15:00",6.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 15:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 15:00",73.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 15:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 15:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 14:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 14:00",6.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 14:00",26
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 14:00",74.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 14:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 14:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 13:00",9
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 13:00",5.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 13:00",24
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 13:00",75.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 13:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 13:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 12:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 12:00",7.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 12:00",14
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 12:00",69.5
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 12:00",0.23
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 12:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 11:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 11:00",11.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 11:00",14
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 11:00",100.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 11:00",0.44
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 11:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 10:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 10:00",11.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 10:00",14
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 10:00",84.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 10:00",0.46
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 10:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 09:00",24
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 09:00",12.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 09:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 09:00",59.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 09:00",0.44
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 09:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 08:00",28
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 08:00",14.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 08:00",58
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 08:00",32.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 08:00",0.48
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 08:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 07:00",14
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 07:00",12
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 07:00",32
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 07:00",18.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 07:00",0.46
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 07:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 06:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 06:00",11
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 06:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 06:00",10.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 06:00",0.37
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 06:00",0.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 05:00",24
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 05:00",9.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 05:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 05:00",13
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 05:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 05:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 04:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 04:00",7.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 04:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 04:00",19.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 04:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 04:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 03:00",18
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 03:00",8.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 03:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 03:00",20.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 03:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 03:00",0.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 02:00",18
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 02:00",9.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 02:00",34
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 02:00",20.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 02:00",0.31
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 02:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 01:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 01:00",13.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 01:00",35
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 01:00",19.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 01:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 01:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 00:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 00:00",17
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 00:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 00:00",18.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 00:00",0.4
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 00:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 23:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 23:00",17.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 23:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 23:00",20.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 23:00",0.44
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 23:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 22:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 22:00",20
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 22:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 22:00",21.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 22:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 22:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 21:00",25
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 21:00",20.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 21:00",44
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 21:00",28.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 21:00",0.48
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 21:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 20:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 20:00",25
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 20:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 20:00",25.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 20:00",0.53
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 20:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 19:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 19:00",20.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 19:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 19:00",31.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 19:00",0.54
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 19:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 18:00",14
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 18:00",13.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 18:00",26
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 18:00",46.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 18:00",0.41
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 18:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 17:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 17:00",10.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 17:00",27
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 17:00",57.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 17:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 17:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 16:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 16:00",7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 16:00",26
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 16:00",61.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 16:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 16:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 15:00",14
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 15:00",7.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 15:00",29
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 15:00",61.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 15:00",0.23
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 15:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 14:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 14:00",6.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 14:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 14:00",67.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 14:00",0.21
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 14:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 13:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 13:00",6.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 13:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 13:00",80.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 13:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 13:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-16 12:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-16 12:00",8.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-16 12:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-16 12:00",90.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-16 12:00",0.33
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-16 12:00",1.5
